lat,lon,ts,temperature,precipitation_type,precipitation_intensity,wind_speed,visibility,humidity,dew_point,road_type,segment_distance_m,hour_of_day,day_of_week,month,prior_year_crash_count,label
42.334213515568585,-71.10446268096868,2020-01-03 19:10:13+00:00,7.7,none,0.0,8.5,10.0,74.0,3.4,arterial,1000.0,19,4,1,2,1
42.331613005294415,-71.08558613426759,2022-11-08 10:13:28+00:00,7.7,none,0.0,13.2,10.0,53.0,-1.2,arterial,1000.0,10,1,11,0,1
42.28327605450428,-71.05176412546767,2024-10-17 03:43:17+00:00,6.4,none,0.0,11.4,10.0,75.0,2.3,highway,1000.0,3,3,10,2,1
42.32254926845893,-71.07823559839973,2025-09-30 18:49:28+00:00,20.8,none,0.0,13.9,10.0,58.0,12.2,arterial,1000.0,18,1,9,0,1
42.28387373381727,-71.08954642949499,2021-02-06 17:49:56+00:00,4.4,none,0.0,30.8,10.0,45.0,-6.6,arterial,1000.0,17,5,2,7,1
42.36853494444103,-71.0628752456481,2018-06-23 00:57:01+00:00,20.4,none,0.0,13.8,10.0,49.0,9.3,arterial,1000.0,0,5,6,1,1
42.318192511069256,-71.10417479462181,2019-10-03 16:31:15+00:00,11.2,none,0.0,14.3,10.0,60.0,3.8,arterial,1000.0,16,3,10,2,1
42.28933075787135,-71.07294228225037,2019-02-05 23:40:34+00:00,9.9,none,0.0,21.7,10.0,75.0,5.7,arterial,1000.0,23,1,2,4,1
42.31706909804054,-71.0652080164487,2022-04-07 15:03:22+00:00,9.6,none,0.0,21.0,10.0,59.0,2.0,arterial,1000.0,15,3,4,5,1
42.34310958884185,-71.0629707458326,2025-07-31 14:11:37+00:00,24.0,rain,0.8,14.7,10.0,70.0,18.1,arterial,1000.0,14,3,7,5,1
42.3054891574322,-70.99093999320914,2021-06-16 10:01:38+00:00,14.9,none,0.0,19.1,10.0,83.0,12.0,arterial,1000.0,10,2,6,0,1
42.34791835435372,-71.09103724906194,2020-11-06 17:10:51+00:00,19.9,none,0.0,16.3,10.0,53.0,10.1,arterial,1000.0,17,4,11,2,1
42.31135491681683,-71.0702349143055,2022-09-03 05:21:46+00:00,15.2,none,0.0,8.6,10.0,93.0,14.0,arterial,1000.0,5,5,9,9,1
42.35895151897255,-71.15737881171313,2019-02-04 20:04:41+00:00,13.6,none,0.0,14.3,10.0,57.0,5.2,arterial,1000.0,20,0,2,3,1
42.34070937564643,-71.09113078844834,2023-11-17 21:48:48+00:00,15.2,none,0.0,22.6,10.0,75.0,10.8,arterial,1000.0,21,4,11,1,1
42.27026899648319,-71.0982819328617,2024-05-05 22:28:42+00:00,10.3,rain,0.4,11.9,10.0,86.0,8.1,arterial,1000.0,22,6,5,1,1
42.34813613822159,-71.0739677576057,2024-05-23 17:30:19+00:00,24.8,rain,0.2,18.3,10.0,72.0,19.5,arterial,1000.0,17,3,5,3,1
42.35834324749996,-71.0236375864589,2021-12-07 07:05:25+00:00,4.4,none,0.0,27.0,10.0,64.0,-1.7,arterial,1000.0,7,1,12,0,1
42.30601870770874,-71.05878136610792,2019-05-31 21:35:11+00:00,18.5,none,0.0,13.0,10.0,70.0,13.1,arterial,1000.0,21,4,5,3,1
42.28402523607574,-71.04389146108922,2023-11-07 18:18:05+00:00,18.6,none,0.0,22.2,10.0,58.0,10.2,arterial,1000.0,18,1,11,7,1
42.3667015364395,-71.06790196880588,2025-07-09 08:35:26+00:00,21.0,none,0.0,7.9,10.0,99.0,20.9,arterial,1000.0,8,2,7,6,1
42.28720393279338,-71.12969368019078,2021-09-23 16:15:19+00:00,25.8,rain,0.1,22.5,10.0,65.0,18.6,arterial,1000.0,16,3,9,1,1
42.35767421310166,-71.12031128126672,2019-04-29 13:39:27+00:00,8.2,none,0.0,10.8,10.0,54.0,-0.6,arterial,1000.0,13,0,4,3,1
42.30672321125344,-71.04711619798626,2024-07-08 16:18:31+00:00,30.1,none,0.0,3.5,10.0,50.0,18.6,arterial,1000.0,16,0,7,0,1
42.3256534054546,-71.11191232235853,2018-12-04 06:18:57+00:00,3.3,none,0.0,16.9,10.0,72.0,-1.2,arterial,1000.0,6,1,12,0,1
42.30959619924518,-71.07503697333551,2018-09-07 19:48:53+00:00,19.9,rain,1.0,11.9,10.0,73.0,14.9,arterial,1000.0,19,4,9,2,1
42.30025289979725,-71.10588296716413,2020-05-22 09:35:45+00:00,11.6,none,0.0,19.3,10.0,85.0,9.2,arterial,1000.0,9,4,5,5,1
42.28273109583696,-71.08513073202057,2025-06-10 09:32:41+00:00,14.2,none,0.0,5.1,10.0,98.0,13.9,arterial,1000.0,9,1,6,2,1
42.32804199399544,-71.05690517055828,2025-02-24 18:55:02+00:00,6.1,none,0.0,9.4,10.0,50.0,-3.5,arterial,1000.0,18,0,2,4,1
42.326737007346416,-71.07157558567143,2018-12-29 01:35:58+00:00,11.6,rain,0.2,23.2,10.0,99.0,11.4,arterial,1000.0,1,5,12,2,1
42.29801940470516,-71.13036001503197,2019-01-12 19:14:37+00:00,-2.2,none,0.0,17.6,10.0,24.0,-20.2,highway,1000.0,19,5,1,2,1
42.29125445256193,-71.08921766965636,2018-04-11 15:05:44+00:00,5.7,none,0.0,5.5,10.0,64.0,-0.6,arterial,1000.0,15,2,4,1,1
42.35038828059493,-71.07622516053083,2024-09-18 01:05:34+00:00,18.5,none,0.0,10.6,10.0,70.0,12.9,arterial,1000.0,1,2,9,3,1
42.35145587639981,-71.11783340873156,2018-04-14 02:19:01+00:00,9.9,none,0.0,6.0,10.0,91.0,8.6,arterial,1000.0,2,5,4,0,1
42.3338261496791,-71.08251021213488,2023-07-05 10:23:04+00:00,19.6,none,0.0,10.1,10.0,99.0,19.5,arterial,1000.0,10,2,7,3,1
